source,player,pos,team,bye,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,fumbles_lost,two_pts,rec,rec_yds,rec_tds,xp,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,dst_sacks,dst_int,dst_fum_rec,dst_td,dst_safety,dst_blk,dst_forced_fumble,dst_pts_allowed
ESPN,Trey Franklin,RB,PHI,10,0,0,0,517.409,3.673,1.001,0,13.879,145.355,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Trey Franklin,RB,PHI,10,0,0,0,342.398,3.018,0.956,0,13.114,129.717,0.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Trey Franklin,RB,PHI,10,0,0,0,403.276,3.326,0.975,0,12.988,121.049,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Trey Franklin,RB,PHI,10,0,0,0,388.989,2.952,0.905,0,15.418,141.962,0.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Trey Franklin,RB,PHI,10,0,0,0,398.245,3.315,0.782,0,16.211,121.272,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Trey Dowdle,RB,GB,6,0,0,0,406.379,3.754,0.842,0,15.469,126.84,0.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Trey Dowdle,RB,GB,6,0,0,0,375.036,3.244,0.926,0,14.594,90.196,0.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Trey Dowdle,RB,GB,6,0,0,0,325.456,2.418,0.797,0,12.578,138.879,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Trey Dowdle,RB,GB,6,0,0,0,456.619,2.917,0.759,0,12.901,116.497,0.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Trey Dowdle,RB,GB,6,0,0,0,431.393,2.569,1.042,0,15.94,107.929,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Trey Dowdle,RB,GB,6,0,0,0,472.255,3.498,0.962,0,15.98,137.531,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Bo Dowdle,RB,BUF,8,0,0,0,366.947,2.377,0.932,0,14.475,119.54,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Bo Dowdle,RB,BUF,8,0,0,0,324.745,3.05,0.783,0,11.298,123.084,0.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Bo Dowdle,RB,BUF,8,0,0,0,349.33,2.525,0.926,0,15.03,101.449,0.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Bo Dowdle,RB,BUF,8,0,0,0,367.55,3.419,0.943,0,11.825,126.979,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Bo Dowdle,RB,BUF,8,0,0,0,374.387,2.705,0.921,0,12.281,118.427,0.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Bo Dowdle,RB,BUF,8,0,0,0,374.698,2.784,0.905,0,13.949,120.407,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Emeka Jefferson,RB,HOU,7,0,0,0,361.068,2.667,0.748,0,14.259,82.345,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Emeka Jefferson,RB,HOU,7,0,0,0,347.818,2.512,1.081,0,9.709,100.368,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Emeka Jefferson,RB,HOU,7,0,0,0,320.627,2.611,0.793,0,13.462,96.486,0.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Emeka Jefferson,RB,HOU,7,0,0,0,354.529,2.089,0.665,0,11.538,88.285,0.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Emeka Jefferson,RB,HOU,7,0,0,0,308.478,1.952,0.951,0,10.359,96.513,0.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Emeka Jefferson,RB,HOU,7,0,0,0,323.587,1.982,0.662,0,12.132,77.643,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Troy Irving,RB,DAL,13,0,0,0,288.917,2.088,0.974,0,10.404,95.76,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Troy Irving,RB,DAL,13,0,0,0,298.593,2.184,0.723,0,13.221,105.011,0.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Troy Irving,RB,DAL,13,0,0,0,262.061,2.292,0.76,0,10.748,71.968,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Troy Irving,RB,DAL,13,0,0,0,299.493,2.237,0.725,0,11.089,87.745,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Troy Irving,RB,DAL,13,0,0,0,292.372,1.687,0.812,0,13.212,84.721,0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Troy Irving,RB,DAL,13,0,0,0,289.213,2.175,1.106,0,9.974,88.024,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Xzavier Odunze,RB,IND,8,0,0,0,270.451,1.353,0.712,0,10.917,67.411,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Xzavier Odunze,RB,IND,8,0,0,0,278.113,1.628,0.887,0,9.468,84.854,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Xzavier Odunze,RB,IND,8,0,0,0,230.692,2.324,0.759,0,10.677,96.425,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Xzavier Odunze,RB,IND,8,0,0,0,195.083,1.873,0.943,0,9.659,67.559,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Xzavier Odunze,RB,IND,8,0,0,0,230.605,2.001,0.799,0,8.663,74.44,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Xzavier Odunze,RB,IND,8,0,0,0,230.394,1.631,0.836,0,11.301,85.704,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Javon Worthy,RB,DET,5,0,0,0,230.737,2.121,0.852,0,8.375,67.345,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Javon Worthy,RB,DET,5,0,0,0,210.649,1.652,0.775,0,7.171,84.894,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Javon Worthy,RB,DET,5,0,0,0,208.941,1.978,0.991,0,7.027,85.974,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Javon Worthy,RB,DET,5,0,0,0,292.806,1.619,0.852,0,11.015,43.538,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Javon Worthy,RB,DET,5,0,0,0,170.656,1.457,0.881,0,10.205,76.256,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Javon Worthy,RB,DET,5,0,0,0,213.985,1.975,0.756,0,9.007,67.668,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Rashee Spears,RB,NYJ,9,0,0,0,233.092,1.427,0.943,0,6.926,63.81,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Rashee Spears,RB,NYJ,9,0,0,0,225.242,1.966,0.678,0,6.933,61.049,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Rashee Spears,RB,NYJ,9,0,0,0,237.655,1.448,0.762,0,5.589,66.645,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Rashee Spears,RB,NYJ,9,0,0,0,221.687,1.941,0.858,0,9.301,51.721,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Rashee Spears,RB,NYJ,9,0,0,0,201.001,1.584,0.788,0,8.638,74.635,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Rashee Spears,RB,NYJ,9,0,0,0,191.521,1.914,0.815,0,8.637,66.873,0.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Amari Nix,RB,PIT,11,0,0,0,183.129,1.243,0.82,0,5.667,57.791,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Amari Nix,RB,PIT,11,0,0,0,213.863,1.812,0.696,0,7.194,58.537,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Amari Nix,RB,PIT,11,0,0,0,161.366,1.218,0.747,0,7.633,63.027,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Amari Nix,RB,PIT,11,0,0,0,191.82,1.28,0.599,0,6.493,40.378,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Amari Nix,RB,PIT,11,0,0,0,166.953,1.771,0.841,0,8.108,62.017,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Amari Nix,RB,PIT,11,0,0,0,221.164,1.541,0.888,0,5.593,64.03,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Malik Maye,RB,MIA,14,0,0,0,142.673,1.279,0.696,0,6.145,51.538,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Malik Maye,RB,MIA,14,0,0,0,166.367,1.401,1.004,0,8.059,56.284,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Malik Maye,RB,MIA,14,0,0,0,182.585,1.538,0.648,0,6.777,51.568,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Malik Maye,RB,MIA,14,0,0,0,174.305,1.558,0.86,0,6.1,37.616,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Malik Maye,RB,MIA,14,0,0,0,167.802,1.198,0.888,0,6.932,47.143,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Malik Maye,RB,MIA,14,0,0,0,179.218,1.154,0.717,0,6.752,57.199,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Jayden Shipley,RB,GB,6,0,0,0,157.022,1.245,0.585,0,6.539,43.178,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Jayden Shipley,RB,GB,6,0,0,0,144.287,1.248,0.976,0,3.893,50.006,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Jayden Shipley,RB,GB,6,0,0,0,139.417,1.345,0.9,0,5.497,54.824,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Jayden Shipley,RB,GB,6,0,0,0,155.287,1.343,0.991,0,6.23,47.861,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Jayden Shipley,RB,GB,6,0,0,0,162.062,1.141,0.808,0,5.427,43.337,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Jayden Shipley,RB,GB,6,0,0,0,183.018,1.149,0.62,0,4.433,36.239,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Roman Corum,RB,WAS,6,0,0,0,130.004,1.142,0.854,0,3.484,34.828,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Roman Corum,RB,WAS,6,0,0,0,148.458,1.045,0.792,0,5.96,42.531,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Roman Corum,RB,WAS,6,0,0,0,114.503,1.113,0.559,0,4.786,34.12,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Roman Corum,RB,WAS,6,0,0,0,129.844,1.281,0.624,0,5.436,46.99,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Roman Corum,RB,WAS,6,0,0,0,102.598,1.23,0.894,0,5.769,47.247,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Roman Corum,RB,WAS,6,0,0,0,134.089,0.874,0.827,0,3.045,32.085,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Malik Allen,RB,TB,14,0,0,0,129.933,0.809,0.921,0,4.837,35.574,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Malik Allen,RB,TB,14,0,0,0,105.209,0.85,0.876,0,4.94,44.74,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Malik Allen,RB,TB,14,0,0,0,134.659,0.741,0.718,0,4.049,28.886,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Malik Allen,RB,TB,14,0,0,0,108.566,1.186,0.858,0,4.485,45.808,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Malik Allen,RB,TB,14,0,0,0,107.396,1.04,0.708,0,4.483,32.172,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Malik Allen,RB,TB,14,0,0,0,109.565,0.812,0.848,0,3.057,41.493,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Bo Nabers,RB,TEN,5,0,0,0,84.452,0.78,0.868,0,3.858,28.437,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Bo Nabers,RB,TEN,5,0,0,0,89.867,1.056,0.928,0,2.665,28.403,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Bo Nabers,RB,TEN,5,0,0,0,77.268,0.995,0.651,0,4.793,39.085,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Bo Nabers,RB,TEN,5,0,0,0,88.43,0.843,0.753,0,4.615,23.304,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Bo Nabers,RB,TEN,5,0,0,0,103.715,0.784,0.691,0,3.933,29.139,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Bo Nabers,RB,TEN,5,0,0,0,124.072,1.009,0.731,0,3.511,39.87,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Tyreek Legette,RB,LAR,12,0,0,0,95.98,0.716,0.665,0,4.321,29.952,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Tyreek Legette,RB,LAR,12,0,0,0,84.649,0.858,0.918,0,4.395,26.329,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Tyreek Legette,RB,LAR,12,0,0,0,108.414,0.951,0.812,0,3.116,32.457,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Tyreek Legette,RB,LAR,12,0,0,0,85.107,0.669,0.584,0,4.877,31.79,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Tyreek Legette,RB,LAR,12,0,0,0,121.433,0.7,0.314,0,2.831,26.016,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Tyreek Legette,RB,LAR,12,0,0,0,88.856,0.891,0.911,0,3.241,33.808,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Tucker Dowdle,RB,JAX,9,0,0,0,76.968,0.829,0.864,0,3.506,27.583,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Tucker Dowdle,RB,JAX,9,0,0,0,70.817,0.819,0.775,0,2.558,24.96,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Tucker Dowdle,RB,JAX,9,0,0,0,105.734,0.692,0.8,0,2.657,28.467,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Tucker Dowdle,RB,JAX,9,0,0,0,91.138,0.729,0.832,0,4.222,29.264,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Tucker Dowdle,RB,JAX,9,0,0,0,71.777,0.824,0.722,0,3.178,28.071,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Tucker Dowdle,RB,JAX,9,0,0,0,93.077,0.663,0.779,0,3.527,24.273,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Roman Brooks,RB,NE,6,0,0,0,70.548,0.644,0.84,0,3.296,31.665,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Roman Brooks,RB,NE,6,0,0,0,63.216,0.645,0.862,0,3.451,24.148,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Roman Brooks,RB,NE,6,0,0,0,91.574,0.639,0.842,0,3.241,24.052,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Roman Brooks,RB,NE,6,0,0,0,71.663,0.721,0.803,0,3.109,28.635,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Roman Brooks,RB,NE,6,0,0,0,54.799,0.504,1.009,0,3.28,25.877,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Roman Brooks,RB,NE,6,0,0,0,65.983,0.633,0.869,0,2.025,23.712,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Devon Maye,RB,GB,6,0,0,0,61.406,0.49,0.851,0,2.295,21.76,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Devon Maye,RB,GB,6,0,0,0,71.591,0.58,0.624,0,2.994,22.866,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Devon Maye,RB,GB,6,0,0,0,55.112,0.617,0.704,0,2.598,18.622,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Devon Maye,RB,GB,6,0,0,0,62.559,0.643,0.727,0,2.398,26.78,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Devon Maye,RB,GB,6,0,0,0,82.791,0.672,0.828,0,2.878,20.677,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Devon Maye,RB,GB,6,0,0,0,60.079,0.579,0.765,0,2.08,22.806,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Ladd Hall,RB,DET,5,0,0,0,67.609,0.555,0.737,0,2.456,20.743,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Ladd Hall,RB,DET,5,0,0,0,66.359,0.657,0.86,0,1.677,15.471,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Ladd Hall,RB,DET,5,0,0,0,54.617,0.563,0.827,0,2.022,21.156,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Ladd Hall,RB,DET,5,0,0,0,50.027,0.386,0.841,0,2.454,22.043,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Ladd Hall,RB,DET,5,0,0,0,74.895,0.536,0.772,0,2.588,19.767,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Ladd Hall,RB,DET,5,0,0,0,66.284,0.469,0.756,0,2.193,22.844,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Grant Thomas,RB,IND,8,0,0,0,49.804,0.519,0.731,0,1.441,17.255,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Grant Thomas,RB,IND,8,0,0,0,53.497,0.434,0.72,0,2.316,17.2,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Grant Thomas,RB,IND,8,0,0,0,69.659,0.46,0.679,0,2.152,18.41,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Grant Thomas,RB,IND,8,0,0,0,47.567,0.449,0.934,0,2.247,18.691,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Grant Thomas,RB,IND,8,0,0,0,70.16,0.414,0.939,0,2.097,15.515,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Grant Thomas,RB,IND,8,0,0,0,64.159,0.509,0.766,0,1.547,21.408,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Jonathon Corum,RB,IND,8,0,0,0,50.865,0.457,0.785,0,2.058,16.222,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Jonathon Corum,RB,IND,8,0,0,0,40.875,0.487,0.785,0,1.803,13.081,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Jonathon Corum,RB,IND,8,0,0,0,40.213,0.467,0.734,0,2.152,17.091,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Jonathon Corum,RB,IND,8,0,0,0,51.745,0.506,0.766,0,2.442,15.658,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Jonathon Corum,RB,IND,8,0,0,0,54.799,0.362,0.827,0,2.27,14.255,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Jonathon Corum,RB,IND,8,0,0,0,51.868,0.495,0.694,0,2.665,14.887,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Javon Hall,RB,LAR,12,0,0,0,44.124,0.363,0.483,0,2.001,13.55,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Javon Hall,RB,LAR,12,0,0,0,40.177,0.352,0.794,0,1.884,14.817,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Javon Hall,RB,LAR,12,0,0,0,49.691,0.32,0.768,0,1.681,13.349,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Javon Hall,RB,LAR,12,0,0,0,33.191,0.403,0.639,0,2.134,14.508,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Javon Hall,RB,LAR,12,0,0,0,43.713,0.401,0.591,0,1.929,16.456,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Javon Hall,RB,LAR,12,0,0,0,46.347,0.406,0.54,0,1.799,14.921,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Tyreek McConkey,RB,DAL,13,0,0,0,49.028,0.346,0.734,0,1.742,12.836,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Tyreek McConkey,RB,DAL,13,0,0,0,24.745,0.349,0.866,0,1.517,12.682,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Tyreek McConkey,RB,DAL,13,0,0,0,37.888,0.296,0.652,0,1.882,13.259,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Tyreek McConkey,RB,DAL,13,0,0,0,46.24,0.429,0.631,0,1.522,9.795,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Tyreek McConkey,RB,DAL,13,0,0,0,30.351,0.348,0.73,0,1.396,13.251,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Tyreek McConkey,RB,DAL,13,0,0,0,40.523,0.281,0.666,0,1.309,12.266,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Caleb Bowers,RB,CIN,11,0,0,0,42.273,0.257,0.695,0,1.674,12.313,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Caleb Bowers,RB,CIN,11,0,0,0,30.244,0.312,0.532,0,1.506,12.874,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Caleb Bowers,RB,CIN,11,0,0,0,44.615,0.36,0.652,0,1.46,10.495,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Caleb Bowers,RB,CIN,11,0,0,0,46.225,0.228,0.641,0,1.565,10.154,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Caleb Bowers,RB,CIN,11,0,0,0,40.161,0.363,0.721,0,1.405,11.971,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Caleb Bowers,RB,CIN,11,0,0,0,42.16,0.294,0.821,0,1.399,12.934,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Ainias Adams,RB,CIN,11,0,0,0,38.861,0.247,0.713,0,1.249,8.881,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Ainias Adams,RB,CIN,11,0,0,0,31.531,0.255,0.848,0,0.917,7.546,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Ainias Adams,RB,CIN,11,0,0,0,26.989,0.26,0.635,0,1.158,12.099,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Ainias Adams,RB,CIN,11,0,0,0,31.9,0.219,0.676,0,1.559,10.095,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Ainias Adams,RB,CIN,11,0,0,0,28.501,0.313,0.651,0,1.064,10.888,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Ainias Adams,RB,CIN,11,0,0,0,34.916,0.209,0.88,0,1.091,12.518,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Theo Worthy,RB,NO,7,0,0,0,33.459,0.198,0.544,0,1.026,7.45,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Theo Worthy,RB,NO,7,0,0,0,25.76,0.207,0.71,0,1.256,8.698,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Theo Worthy,RB,NO,7,0,0,0,32.292,0.261,0.898,0,1.016,10.429,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Theo Worthy,RB,NO,7,0,0,0,26.205,0.27,0.709,0,1.46,10.103,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Theo Worthy,RB,NO,7,0,0,0,24.942,0.161,0.967,0,1.052,5.73,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Theo Worthy,RB,NO,7,0,0,0,26.929,0.296,0.719,0,1.062,11.104,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Keon Allen,RB,CIN,11,0,0,0,36.922,0.2,0.564,0,1.109,8.675,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Keon Allen,RB,CIN,11,0,0,0,20.878,0.143,0.824,0,1.117,9.655,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Keon Allen,RB,CIN,11,0,0,0,23.552,0.17,0.627,0,0.877,8.788,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Keon Allen,RB,CIN,11,0,0,0,20.495,0.229,0.756,0,1.094,8.984,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Keon Allen,RB,CIN,11,0,0,0,34.46,0.231,0.768,0,1.079,7.344,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Keon Allen,RB,CIN,11,0,0,0,24.402,0.196,0.7,0,1.123,9.088,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Ricky Brown,RB,LAR,12,0,0,0,21.275,0.177,0.721,0,0.69,6.875,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Ricky Brown,RB,LAR,12,0,0,0,21.58,0.198,0.631,0,0.978,5.378,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Ricky Brown,RB,LAR,12,0,0,0,19.535,0.2,0.779,0,0.966,7.204,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
